Station_Code,Station_Name,lat,lon
1012,帯広貨物,42.9255666694283,143.149787114152
1021,音別,42.88891758984167,143.93222382106444
1025,釧路貨物,43.00141287829334,144.35135049959862
1120,中斜里オフレールステーション,43.874380435588336,144.65906252485473
1302,北旭川,43.80073816999667,142.4245292695783
1310,名寄オフレールステーション,44.349291325113896,142.46561170974113
1420,北見,43.80548562717278,143.89829554491055
1514,小樽築港オフレールステーション,43.1838660246781,141.021108683156
1525,札幌貨物ターミナル,43.04413535291889,141.44686752482056
1543,滝川,43.55492197934277,141.90069520366944
1608,東室蘭,42.35475743095556,141.03387801128082
1617,苫小牧貨物,42.651680576187225,141.63270349591141
1708,富良野,43.34717499531167,142.39149734240362
1803,函館貨物,41.80342226420611,140.73337279960194
2007,水沢,39.13899223792556,141.14596122284613
2010,六原オフレールステーション,39.227870776054445,141.0976278109911
2018,盛岡貨物ターミナル,39.64143848099722,141.14510482462026
2034,八戸貨物,40.51996084929667,141.4442061980911
2035,北沼,40.55717976005556,141.48253463447276
2043,東青森,40.810473784291105,140.78313661103334
2044,青森信号場,40.81491712275778,140.7470282940839
2207,山形オフレールステーション,38.247128890715004,140.32745915499584
2227,横手新営業所,39.31007482256111,140.56044641596722
2241,秋田貨物,39.74168733754889,140.10324228978
2254,大館,40.28802567320167,140.55456853932975
2259,弘前新営業所,40.599935532707775,140.48455999104138
2314,羽後本荘オフレールステーション,39.38672450436556,140.05742910607418
2405,郡山貨物ターミナル,37.37000132665167,140.37555110543056
2415,東福島オフレールステーション,37.799679365588894,140.47718954584056
2424,岩沼,38.11187493868889,140.86325421904002
2428,仙台貨物ターミナル,38.25324944825611,140.90574418045082
2431,陸前山王,38.29935691332833,140.97934705581113
2432,仙台港,38.27658218287389,141.01434519794944
2432,仙台西港,38.271860077604444,140.99212503852885
2475,会津若松オフレールステーション,37.508867599596115,139.93113717481944
2540,古川オフレールステーション,38.57377174397945,140.96433566658277
2551,石巻港,38.41851621015111,141.2870937886039
3007,直江津,37.169985450416114,138.24184862867665
3010,黒井,37.184151062813335,138.2682346739481
3014,柏崎オフレールステーション,37.36330359820723,138.55625806003113
3019,南長岡,37.434134454433334,138.84817499950805
3036,焼島,37.927696887578335,139.08368826895529
3040,新潟貨物ターミナル,37.90853270253555,139.108409320565
3052,中条オフレールステーション,38.049633776671115,139.39782323220112
3061,酒田港,38.92093693152722,139.82496985960665
4105,熊谷貨物ターミナル,36.162890311395,139.35041404789195
4113,倉賀野,36.30037035686778,139.0498771211464
4114,高崎（操）,36.305091797535006,139.0340448852589
4203,土浦,36.078469839706116,140.2059024432008
4213,水戸オフレールステーション,36.37094328181333,140.47642206489638
4220,日立,36.59008974429612,140.66167436665665
4229,小名浜,36.947000238849995,140.9035822863003
4341,千葉貨物,35.55657973763111,140.12121128584445
4341,京葉久保田,35.46380967033001,139.99455940926111
4363,神栖,35.90988463005556,140.65642834578975
4363,奥野谷浜,35.904885698427776,140.68698159411028
4403,田端信号場,35.7351655271594,139.76512152437002
4418,羽生オフレールステーション,36.1747719616567,139.568646188054
4425,宇都宮貨物ターミナル,36.45370161653223,139.87007972143667
4439,矢板オフレールステーション,36.806720509147226,139.9328360319878
4450,隅田川,35.73294414414167,139.7995632107511
4475,越谷貨物ターミナル,35.87598441931,139.80066764360058
4505,東京貨物ターミナル,35.60240182383612,139.75790601472613
4506,川崎貨物,35.5296316210439,139.7459659127275
4507,千鳥町,35.519355039496666,139.7515214801014
4507,末広町,35.530465292150005,139.77040828886697
4510,浜川崎,35.50935543469222,139.71291403575276
4511,扇町,35.50657814319111,139.72374659733694
4533,横浜本牧,35.420475319952224,139.6709771667675
4533,神奈川臨海鉄道（本牧埠頭）,35.43241854515167,139.6743096733925
4538,横浜羽沢,35.48407820647945,139.5895921081278
4548,相模貨物,35.32242432338056,139.33156542508974
4610,八王子オフレールステーション,35.655166646406116,139.33932723655417
4620,竜王,35.66848422840833,138.5191169632639
4670,梶ケ谷貨物ターミナル,35.58045705338778,139.6048641796414
4674,新座貨物ターミナル,35.801821250852775,139.5468032528917
5016,北長野,36.66503912058833,138.22242904814723
5106,岡谷新営業所,36.056767748645,138.04497179472972
5141,南松本,36.21063885961501,137.9694154287975
5203,沼津,35.10271737296556,138.86050355203028
5209,富士,35.15104190356667,138.65246304886224
5213,静岡貨物,34.98855525166834,138.42165636579637
5229,西浜松,34.694407690346665,137.7142286615639
5233,豊橋オフレールステーション,34.76245017513389,137.38258640435058
5404,刈谷オフレールステーション,34.99075258287723,137.01010682585806
5406,大府,35.00852762493056,136.96233219723695
5407,笠寺,35.09518438710167,136.92594234023056
5408,名古屋臨海鉄道（東港）,35.079352359054454,136.90372269234334
5408,名古屋南貨物,35.020191603067225,136.87983851117446
5410,名古屋貨物ターミナル,35.12573555413389,136.8617795954397
5421,稲沢,35.25322121459778,136.82149929260447
5423,岐阜貨物ターミナル,35.40264784709,136.7167788867064
5466,半田埠頭,34.88159660195889,136.9534498907764
5467,衣浦臨海鉄道（碧南市）,34.88437458231778,136.98205849805166
5510,四日市,34.96130465119612,136.6301397377614
5513,南四日市,34.94130643121388,136.60958680996083
5605,春日井,35.24628031680389,136.98204183485333
5608,多治見,35.33821730483445,137.11813740995112
5710,南福井,36.04507040941722,136.21734633821194
5725,金沢貨物ターミナル,36.59057544749945,136.6656173243136
5737,富山貨物,36.711128102927226,137.23778647734915
5744,青海オフレールステーション,37.022493429805564,137.79550359986527
5760,敦賀港新営業所,35.663719806896665,136.07404246609028
5823,高岡貨物,36.78806123285666,137.06113093924418
