Departure_Location,Departure_Location_(National_Land_Numerical_Information_Format),Arrival_Location,Arrival_Location_(National_Land_Numerical_Information_Format),Company_Name,Ship_Name,Ship_Type,Gross_Tonnage_(G/T),Deadweight_Tonnage_(D/W),Containers_(20,Number_of_Vehicles_(Trucks_with_11t_Load),Passenger_Capacity_(People),Special_Equipment,Speed_Upper_(km/h),Speed_Lower_(knots),Number_of_Services,Route_Time,Departure_Time,Arrival_Time,Fare,Departure_Geometry,Arrival_Geometry
苫小牧,苫小牧,大洗,茨城,（株）商船三井さんふらわあ,さんふらわあしれとこ,フェリー,11410,6277,,160,154,冷凍電源200V 100,48.1,24.9,,18,1:30,19:30,,POINT (141.72194444 42.59666667),POINT (140.62972233 36.41722131)
苫小牧,苫小牧,大洗,茨城,（株）商船三井さんふらわあ,さんふらわあしれとこ,フェリー,11410,6277,,160,154,冷凍電源200V 100,48.1,24.9,,19.25,18:45,14:00,,POINT (141.72194444 42.59666667),POINT (140.62972233 36.41722131)
釧路,釧路,日立,茨城,川崎近海汽船（株）,ほくれん丸,RORO船,11386,6890,シャーシ　100,64,,,41.9,41.9,,20,18:00,14:00,,POINT (144.32335695 42.98454628),POINT (140.62972233 36.41722131)
日立,茨城,釧路,釧路,川崎近海汽船（株）,ほくれん丸,RORO船,11386,6890,シャーシ　100,64,,,22.6,22.6,,20,18:00,14:00,,POINT (140.62972233 36.41722131),POINT (144.32335695 42.98454628)
東京,東京,苫小牧,苫小牧,日本通運（株）,ひまわり7,RORO船,10497,6050,12mシャーシ　172,95,10,冷凍電源220v 25,42.6,23,,33,21:00,6:00,,POINT (139.80491794 35.57386488),POINT (141.72194444 42.59666667)
東京,東京,苫小牧,苫小牧,日本通運（株）,ひまわり7,RORO船,10497,6050,12mシャーシ　172,95,10,冷凍電源220v 25,42.6,23,,34,21:00,7:00,,POINT (139.80491794 35.57386488),POINT (141.72194444 42.59666667)
東京,東京,苫小牧,苫小牧,日本通運（株）,ひまわり7,RORO船,10497,6050,12mシャーシ　172,95,10,冷凍電源220v 25,42.6,23,,26,4:00,7:00,,POINT (139.80491794 35.57386488),POINT (141.72194444 42.59666667)
苫小牧,苫小牧,東京,東京,日本通運（株）,ひまわり7,RORO船,10497,6050,12mシャーシ　172,95,10,冷凍電源220v 25,42.6,23,,38,17:30,7:30,,POINT (141.72194444 42.59666667),POINT (139.80491794 35.57386488)
苫小牧,苫小牧,東京,東京,日本通運（株）,ひまわり7,RORO船,10497,6050,12mシャーシ　172,95,10,冷凍電源220v 25,42.6,23,,27,17:30,20:30,,POINT (141.72194444 42.59666667),POINT (139.80491794 35.57386488)
苫小牧,苫小牧,釧路,釧路,日本通運（株）,ひまわり7,RORO船,10497,6050,12mシャーシ　172,95,10,冷凍電源220v 25,42.6,23,,9.5,17:30,3:00,,POINT (141.72194444 42.59666667),POINT (144.32335695 42.98454628)
釧路,釧路,東京,東京,日本通運（株）,ひまわり7,RORO船,10497,6050,12mシャーシ　172,95,10,冷凍電源220v 25,42.6,23,,29.5,7:00,12:30,,POINT (144.32335695 42.98454628),POINT (139.80491794 35.57386488)
横浜,横浜,苫小牧,苫小牧,井本商運（株）,きそ,コナンテ船,9662,11817,20 コンテナ　1096,,,冷凍コンテナ　100,,,,,,,,POINT (139.69345556 35.41590508),POINT (141.72194444 42.59666667)
横浜,横浜,苫小牧,苫小牧,井本商運（株）,きそ,コナンテ船,9662,11817,21 コンテナ　1096,,,冷凍コンテナ　100,,,,,,,,POINT (139.69345556 35.41590508),POINT (141.72194444 42.59666667)
川崎,川崎,八戸,八戸,栗林商船（株）,神明丸,RORO船,13091,6885,シャーシ 60,500,,,38.9,21,2週3便,,,,,POINT (139.77426612 35.48709552),POINT (141.7956 39.04396)
仙台,仙台塩釜,京浜,京浜,近海郵船(株),はるかぜ,コンテナ船,749,1950,20コンテナ　209,,,,22.2,12,週2便,,,,,POINT (141.09087231 38.32253852),"POINT(139.6378099411991, 35.46836204718279)"
京浜,京浜,仙台,仙台塩釜,近海郵船(株),はるかぜ,コンテナ船,749,1950,20コンテナ　209,,,,22,12,週2便,,,,,"POINT(139.6378099411991, 35.46836204718279)",POINT (141.09087231 38.32253852)
清水,清水,御前崎,御前崎,鈴与海運(株),佑佳,貨物船,499,1600,20コンテナ　88,,,,22.2,12,週1便～2便,,,,,POINT (132.955973 32.770293),POINT(138.2207 34.61701)
清水,清水,御前崎,御前崎,鈴与海運(株),佑佳,貨物船,499,1600,20コンテナ　88,,,,22.2,12,週1便～2便,,,,,POINT (138.51083029 35.02519562),POINT(138.2207 34.61701)
千葉,千葉,徳山下松,徳山下松,東ソー物流（株）,みさき,貨物コンテナ船,749,,20コンテナ　199,,,,25.2,13.6,月5~6便,,,,,POINT (140.003552 35.57306633),POINT (131.77998593 34.00394962)
徳山下松,徳山下松,千葉,千葉,東ソー物流（株）,みさき,貨物コンテナ船,749,,20コンテナ　199,,,,25.2,13.6,月5~6便,,,,,POINT (131.77998593 34.00394962),POINT (140.003552 35.57306633)
広島,広島,千葉,千葉,マツダロジスティクス（株）,第二東洋丸,自動車船,4898,3200,シャーシ　40,470,,ランブウェー,33.3,18,月12便,,,,,POINT (132.41827903 34.33642353),POINT (140.003552 35.57306633)
千葉,千葉,広島,広島,マツダロジスティクス（株）,第二東洋丸,自動車船,4898,3200,シャーシ　40,470,,ランブウェー,33.3,18,月12便,,,,,POINT (140.003552 35.57306633),POINT (132.41827903 34.33642353)
船橋,船橋,徳山,徳山,山九（株）,1大栄丸,貨物コンテナ船,499,1530,コンテナ　136,,,,20.4,11,週1便,,,,,POINT (139.9827277 35.6945485,POINT (131.7991975 34.0495448)
徳山,徳山,船橋,船橋,山九（株）,1大栄丸,貨物コンテナ船,499,1530,コンテナ　137,,,,20.4,11,週1便,,,,,POINT (131.7991975 34.0495448),POINT (139.9827277 35.6945485
神戸,神戸,横浜,横浜,プリンス海運(株),ディプレイクスベル,一般貨物船,7971,5280,13mシャーシ　50,600,,,38,20.5,週2便,,,,,POINT (135.24260535 34.67284011),POINT (139.69345556 35.41590508)
